Uhrzeit  Einkaufswert (EUR)
09:17               25.53
15:42               50.21
08:59                8.71
14:26               34.12
17:33               76.45
10:05               20.98
12:38               63.72
09:41               15.97
16:04               41.86
12:18               32.59
14:59               45.38
13:28               29.77
09:22                1.68
08:28                7.14
11:49               42.73
17:42               59.95
14:54                7.27
13:06               49.02
18:52               99.11
13:33               69.61
11:55               58.85
09:37              216.11
12:13               27.43
15:19               36.25
10:49               24.33
19:15               88.04
08:10                5.73
12:02               31.89
13:57               55.76
12:02                9.87
15:51               41.39
18:29               86.26
16:23               47.66
11:15               26.58
14:47               53.94
10:31               28.74
17:19               72.61
08:16                6.49
12:44               33.07
19:05               82.15
13:49               55.35
09:08               13.96
11:33               33.92
15:06               37.88
18:12               70.39
14:06              124.59
10:42               23.71
16:17               44.84
17:56               64.28
08:43               82.74
12:22               35.64
09:29               20.64
13:16               31.92
15:31               45.67
19:28               85.09
14:38               53.07
11:41               34.82
10:03               15.49
08:53                8.97
16:49               49.78
12:06               26.13
13:44               36.01
18:41               78.62
17:09               62.34
09:50              217.29
15:58               55.09
10:27               22.67
14:15               27.79
08:20                7.57
11:59               46.43
11:58               46.69
11:05               22.82
17:03               61.17
19:21               80.68
13:07               31.32
18:20               70.94
09:25               20.07
08:34               59.22
15:27               49.85
10:54               25.14
12:52               45.20
14:17               42.61
16:12               41.55
19:51               89.78
11:21               26.44
09:14               18.82
17:38               74.27
14:36               43.78
10:39               21.06
18:04               64.59
09:47               11.86
12:33               38.79
15:14               33.23
14:45               47.09
12:38               49.45
11:09               22.04
09:58               15.05
19:45               84.90
08:06                7.86
19:23               68.56
